contact,material_recovery_facility,rail_access,year,icon,notes,website,email,fax,phone,cartodb_id,operating_hours,pickup,number_of_employees,materials_accepted,materials_category,recycler_type,permit_number,company_name,county,address,longitude,latitude
Ken Beringer,,FALSE,2015,Processor,Accepts all types of refrigerant gases.,www.airgasrefrigerants.com,ken.beringer@airgas.com,404-352-6959,404-352-4007,11,7:30-5:30 M-F,Yes,50,"Refrigerant cylinders, refrigerant gases",Other,"Collector, Processor",,"Airgas Refrigerants, Inc.",Cobb,,-84.4969819,33.8433147
Blaire Brown,,FALSE,2015,Processor,Accepts recovered materials from businesses and the general public. Call for details.,www.allamrecycling.com,aarecycling@earthlink.net,706-322-3059,706-324-3249,12,"8-4:30 M-F, 8-1 Sa",Yes,,"Ferrous metals, non-ferrous metals, aluminum cans, paper, newspaper, cardboard, mixed paper, magazines, office paper, PET, HDPE, PVC, film plastic, PE, PP",Single-stream,"Collector, Processor, Broker",,All American Recycling,Muscogee,,-84.968812,32.45642
Pete Leonetti,,FALSE,2015,Processor,,www.alliedrecyclinginc.com,yourpersonnaltrashman@yahoo.com,770-922-1645,770-922-6031,13,"8-5:30 M-F, 8-1 Sa",Yes,30,"Metals, ferrous metals, steel cans, metal appliances, autos, non-ferrous metals, aluminum cans ",Metal,"Collector, Processor",,"Allied Recycling, Inc.",Rockdale,,-84.0686319,33.693498
Sol Hirsh,,FALSE,2015,Processor,Pick-up for large volume accounts only. Call for details.,www.aluminumrecyclingwr.com,alsolinc@bellsouth.net,478-929-0321,478-922-3663,14,"9-5 M-F, 9-12:30 Sa",Yes,7,"Cans, aluminum scrap, insulated copper, copper, brass, radiators, stainless steel",Metal,"Collector, Processor",,Aluminum Recycling of Warner Robins,Houston,,-83.612328,32.61969
Jack Lupas,,FALSE,2015,Processor,,www.amfiberservices.com,,678-486-7890,770-790-4000,15,7:30-4 M-F,No,10,"Paper, newspaper, cardboard, other paper, magazines, office paper",Paper,Broker,,American Fiber Co. Services,Cobb,,-84.498382,33.828303
,,FALSE,2015,Processor,"Accepts a variety of metals, films and paper types. Provides document destruction services.",www.recyclinggroup.com,service@recyclinggroup.com,,770-934-8248,16,10-3 M-F,Yes,5,"Aluminum cans, steel cans, ferrous metals, non-ferrous metals, office paper, cardboard, mixed paper, junk mail, x-ray film, print film",Single-stream,"Collector, Processor",,American Paper Recycling,DeKalb,,-84.1986653,33.8392677
,TRUE,,2015,Processor,,,,,229-924-3004,17,,,,,Single-stream,,129-014P(MRF),Ameri-Green Environmental Recycling,Sumter,,-84.201211,32.053303
,,FALSE,2015,Processor,,www.amerisouthrecycling.com,info@recycleatl.com,404-209-1234,404-209-0002,18,8-5 M-F,Yes,200,"Paper, plastic, metal, CFL bulbs, batteries, e-scrap",Single-stream,"Collector, Processor, Broker",,"AmeriSouth Recycling & Consulting, Inc.",Fulton,,-84.3931376,33.6535745
,,TRUE,2015,Processor,,,evans9484@att.net,706-295-3788,706-291-4994,19,8-4 M-F,Yes,8,"Metals, ferrous metals, steel cans, metal appliances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,"Anniston Metals, Inc.",Floyd,,-85.1742404,34.2492012
,,TRUE,2015,Processor,"Haul wood, scrap tire, cardboard, concrete and asphalt from customer to recycler.",,evans9484@att.net,706-295-3788,706-291-4994,20,8-4 M-F,Yes,12,"Wood, scrap tires, cardboard, concrete, asphalt ",C&D,Collector (Hauling),,"Anniston Trucks, Inc. (dba AMR Waste Systems)",Floyd,,-85.1742404,34.2492012
Brian Buckle,,FALSE,2015,Processor,Collects and processes most types of post-industrial and post-consumer plastics,www.antekmadison.com,bbuckle@antekmadison.com,770-948-9000,770-948-0000,21,8-midnight M-F,Yes,75+,"PS, PET, PVC, HDPE, PP, film plastic.",Plastic,"Collector, Processor",,Antek Madison Plastics Recycling Corp.,Cobb,,-84.563865,33.757769
Randy Beckett,,FALSE,2015,Processor,"Uses paper to make  insulation (manufactures reconstituted wood insulation and roofing material). Pickup in trailer quantities only. Call for details. Uses cotton, bamboo and a low-melt synthetic that is often a recovered material.",www.applegateinsulation.com,rbeckett@applegateinsulation.com,706-779-0079,706-779-0035,22,24-hrs M-F,Yes,,"Paper, newspaper, mixed paper, other paper",Paper,"Collector, Processor",,Applegate Insulation Systems,Stephens,,-83.27783,34.537602
Joe Alewine,,TRUE,2015,Processor,Accepts autos with title and current ID. Call for details.,,athensautowrecking1@gmail.com,706-548-2231,706-548-2211,23,"8-5 M-F, 8-4 Sa",Yes,25-30,"Metals, ferrous metals, metal appliances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,Athens Auto Wrecking Co.,Madison,,-83.3129406,34.0364087
Jim Corley,TRUE,,2015,Processor,,,,,706-613-3501,25,,,,,Single-stream,,029-013P(RM),Athens-Clarke County - Dunlap Road MRF,Clarke,,-83.2707,33.91762
Peter Wirhun,,FALSE,2015,Processor,"Specializes in liquidation, asset remarketing, scrap recycling. Pick-ups for 10+ items.",www.atlantacomputersystems.com,peter@atlantacomputersystems.com,404-256-4807,404-256-4661,26,9-5 M-F,Yes,3,"Computer equipment, electronics, networking equipment, telecommunications",Electronics,"Collector, Processor, Broker",,Atlanta Computer Systems,Fulton,,-84.368182,33.908273
Linda Salazar,,FALSE,2015,Processor,"Accepts carpet from homeowners at no charge, they will pay for carpet pad. Generally, pick up is not available for individuals. Pick up is available for carpet stores and multi-family installations.",,guera2@aol.com,770-414-1182,770-414-1181,27,"7-11 M-F, 8-9 Sa",Yes,10,"Carpet padding, carpet",Carpet,Collector,,"Atlanta Foam Recycle Center, Inc.",DeKalb,,-84.2171424,33.8545479
Rick Golson,,FALSE,2015,Processor,No residential pick up. Accepts computer-related e-scrap.,www.atlantametalinc.com,rick@atlantametalinc.com,404-577-3220,404-688-6278,28,7-3:30 M-F,Yes,9,"Non-ferrous metals, aluminum, brass, copper, batteries, lead, stainless steel, alloys, exotic metals, electronics",Metal,"Collector, Processor",,"Atlanta Metal, Inc.",Cobb,,-84.4964585,33.8251148
Jeff Lewis,,FALSE,2015,Processor,Reconditions and resells wood pallets. Will pay for pallets in very good condition. Call for details.,www.atlantapallets.com,aps@atlantapallets.com,404-766-0724,404-766-2339,29,7:30-4:30 M-F,Yes,75,Wood pallets,Wood,"Collector, Processor",,Atlanta Pallets & Service,Fulton,,-84.392419,33.66227
David McClesky,,FALSE,2015,Processor,Accepts all electronic equipment from businesses and individuals. Pick-ups for business only.,www.arsrecycle.com,dloxsom@arsrecycle.com,678-566-6635,678-566-6665,30,8-5 M-F,Yes,12,"Computer equipment, office equipment, printers",Electronics,"Collector, Processor",,Atlanta Recycling Solutions,Fulton,,-84.2388129,34.114031
,,TRUE,2015,Processor,"Call for pick up details, quantity and distance. Also manufactures recycled wood pallets.",www.atlanticpallet.com,info@albanypallet.com,800-311-8471,800-763-6487,31,"8-5 M-F (yard hours 6-2 M-Th summer, 7:30-4:30 M-F fall to spring)",Yes,25,Wood pallets,Wood,"Collector, Processor",,Atlantic (Albany) Pallet Exchange,Dougherty,,-84.097222,31.600007
,,FALSE,2015,Processor,Buys and refurbishes servers only from businesses. Call first for details.,www.atlantixglobal.com,,,877-552-8526,32,8-6 M-F,No,,Computer and telecommunications equipment,Electronics,Processor,,Atlantix Global Systems,Gwinnett,,-84.2267412,33.9675756
Matt Attaway,TRUE,,2015,Processor,"Offers single-stream recycling services to businesses, governments and schools in the following counties: Baldwin, Bibb, Greene, Laurens, Jones, Morgan, Putnam, Washington and Wilkinson. ",www.attawayrecycling.com,,,478-456-8468,33,,,,"Cardboard, #1-2 plastic, glass, newspaper, aluminum cans, metal cans, office paper",Single-stream,"Collector, Processor",,Attaway Recycling,Baldwin,,-83.2065,33.12102
John Wayne Donaldson,,FALSE,2015,Processor,Will remove large equipment. No drop-offs.,www.romescrapmetal.com,johnwdonaldson_66@hotmail.com,,706-802-8110,34,7-6 M-F,Yes,1,"Ferrous metals, non-ferrous metals, computers, electronics",Electronics,"Collector, Processor",,B&D Metal Recycling,Floyd,,-85.145128,34.269762
"Larry Barber, Jr.",,FALSE,2015,Processor,Restrictions may apply to acceptance of autos and appliances. Call for details.,www.barbersrecycling.com,recycling4cash@yahoo.com,912-632-7798,912-632-5001,35,"8-5 M-F, 8-noon Sa",Yes,15,"Ferrous metals, metal appliances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor, Broker",,Barber's Recycling,Bacon,,-82.4898661,31.575642
Richard Pressl,,FALSE,2015,Processor,Accepts computer and telecommunications equipment from businesses and individuals. Must have at least 10 units for free collection in metro Atlanta. Call first for details.,www.bizmarts.com,recycle@bizmarts.com,,770-345-4663,37,9-6 M-Sa,Yes,,"Computer equipment, network equipment, telecommunications equipment, office equipment, media equipment, scrap metal, packaging material, medical equipment",Electronics,"Collector, Broker",,Bizmarts,Cherokee,,-84.612708,34.313649
,,FALSE,2015,Processor,Restrictions may apply. Call for details.,www.blazerecycling.com,info@blazerecycling.com,,229-483-7800,38,8-4 M-F,No,,"Ferrous metals, non-ferrous metals, steel cans, metal appliances, autos, aluminum cans",Metal,"Collector, Processor",,"Blaze Recycling & Metals, LLC",Dougherty,,-84.074339,31.591981
Paul Shinell,,TRUE,2015,Processor,Restrictions may apply. Call for details.,www.blazerecycling.com,info@blazerecycling.com,770-534-2809,770-534-5614,39,8-4 M-F,Yes,,"Ferrous metals, non-ferrous metals, steel cans, metal appliances, autos, aluminum cans",Metal,"Collector, Processor",,"Blaze Recycling & Metals, LLC",Hall,,-83.812173,34.295172
,,FALSE,2015,Processor,Restrictions may apply. Call for details.,www.blazerecycling.com,info@blazerecycling.com,,770-228-3311,40,8-4 M-F,No,,"Ferrous metals, non-ferrous metals, steel cans, metal appliances, autos, aluminum cans",Metal,"Collector, Processor",,"Blaze Recycling & Metals, LLC",Spalding,,-84.2496403,33.2491525
,,FALSE,2015,Processor,Restrictions may apply. Call for details.,www.blazerecycling.com,info@blazerecycling.com,,678-377-9102,41,8-4 M-F,Yes,,"Ferrous metals, non-ferrous metals, steel cans, metal appliances, autos, aluminum cans",Metal,"Collector, Processor",,"Blaze Recycling & Metals, LLC",Gwinnett,,-83.968144,33.969951
,,FALSE,2015,Processor,Restrictions may apply. Call for details.,www.blazerecycling.com,info@blazerecycling.com,,770-373-4952,42,8-4 M-F,No,,"Ferrous metals, non-ferrous metals, steel cans, metal appliances, autos, aluminum cans",Metal,"Collector, Processor",,"Blaze Recycling & Metals, LLC",Cobb,,-84.562732,33.977106
Gary Blaze,,TRUE,2015,Processor,Restrictions may apply. Call for details.,www.blazerecycling.com,info@blazerecycling.com,770-447-1885,770-447-0175,43,8-4 M-F,Yes,,"Ferrous metals, non-ferrous metals, steel cans, metal appliances, autos, aluminum cans",Metal,"Collector, Processor",,"Blaze Recycling & Metals, LLC",Gwinnett,,-84.189213,33.924666
Jimmy Bobo,,FALSE,2015,Processor,"Contract grinding and screening available to Southeast; wood waste management programs for municipalities.  Produce custom soil blends and compost, color enhanced mulches. Sell  product to residents, businesses and governments. Also wood-based biofuels.",www.woodtechmulch.com,jimmybobo@mindspring.com,770-720-0329,770-720-1050,44,"7-5 M-F, 8-noon Sa",Yes,30,"Yard trimmings, grass clippings, leaves, land clearing debris, industrial wood scrap",Organics,"Collector, Processor, Broker, End User",,BoBo Grinding ,Cherokee,,-84.4905261,34.2317656
,,FALSE,2015,Processor,Collects and processes wood pallets. Manufactures recycled pallets and mulch.,www.bospallets.com,orders@bopallets.com,770-773-3397,877-773-3054,45,7:30-midnight M-F,Yes,100,"Wood pallets, plastic, metal, cardboard",Single-stream,"Collector, Processor, Broker",,Bo's Pallets,Bartow,,-84.805447,34.375366
,,TRUE,2015,Processor,Sells materials for boiler fuel. Offers wood grinding.,,evans9484@att.net,706-295-3788,706-291-4994,46,8-4 M-F,Yes,1,Wood,Wood,"Collector, Processor",,Bryan Recycling,Floyd,,-85.1824179,34.2225328
Patsy Niver,,TRUE,2015,Processor,"Picks up baled material via flatbed or trailer. Can pick up some loose material in truckload quantities. Loose OCC, SOP and ONP can be dropped off 8 a.m.- 3:30 p.m.",www.caraustar.com,patsy.niver@caraustar.com,706-323-0783,706-323-6306,47,7:30-4:30 M-F,Yes,,"Office paper, cardboard, mixed paper, newspaper, magazines, paperboard, phone books, tubes and cores, hard white paper, double-line kraft (DLK), hardcover books, paperback books, PET, HDPE, LDPE",Single-stream,"Collector, Processor, Broker, End User",,Caraustar,Muscogee,,-84.941417,32.460953
April Carlock,,TRUE,2015,Processor,,www.caraustar.com,april.carlock@caraustar.com,706-259-3965,706-259-8591,48,7:30-3:30 M-F,Yes,,"Office paper, cardboard, mixed paper, newspaper, magazines, paperboard, phone books, tubes and cores, hard white paper, double-line kraft (DLK), hardcover books, paperback books",Paper,"Collector, Processor, Broker, End User",,Caraustar,Whitfield,,-84.983355,34.699541
Nancy Womack,,TRUE,2015,Processor,Accepts bales and loose paper. Provides loose pick up in Metro Atlanta and bale pickup statewide.,www.caraustar.com,nancy.womack@caraustar.com,770-451-2045,770-451-1334,49,7:30-3:30 M-F,Yes,,"Office paper, cardboard, mixed paper, newspaper, magazines, paperboard, phone books, tubes and cores, hard white paper, double-line kraft (DLK), hardcover books, paperback books, HDPE, LDPE, PET",Single-stream,"Collector, Processor, Broker, End User",,Caraustar,DeKalb,,-84.269012,33.912885
Jeremy Warner,,FALSE,2015,Processor,Provides collection bins for commercial collection.,www.cartridgeworldusa.com,jwarner@cartridgeworldusa.com,404-249-7646,404-249-7644,50,"10-6 M-F, 10-3 Sa",Yes,1,"Inkjet cartridges, toner cartridges",Electronics,"Collector, Processor, Broker",,Cartridge World,Fulton,,-84.3709735,33.7994282
Max Pierre,,TRUE,2015,Processor,Accepts empty ink jet and laser toner cartridges.,www.cartridgeworldusa.com,cartridgeworldlindbergh@gmail.com,404-231-5004,404-231-5000,51,"10-6 M-F, 10-5 Sa",Yes,,"Inkjet cartridges, toner cartridges",Electronics,"Collector, Processor, Broker",,Cartridge World,Fulton,,-84.3872672,33.8199608
Jeremy Warner,,FALSE,2015,Processor,Provides collection bins for commercial collection.,www.cartridgeworldusa.com,jwarner@cartridgeworldusa.com,404-321-3770,404-321-3220,52,"9-6 M-F, 10-3 Sa",Yes,3,"Inkjet cartridges, toner cartridges",Electronics,"Collector, Processor, Broker",,Cartridge World,DeKalb,,-84.3053233,33.7902323
Brandon Howard ,,TRUE,2015,Processor,,www.cemex.com,,478-987-2121,478-987-2121,53,,No,,Scrap tires,Scrap Tires,,,CEMEX,Houston,,-83.634808,32.409981
Rick Glendye,,FALSE,2015,Processor,Minimum 100 gallons for pick up. Accepts all non-hazardous waste oil products.,www.coastalrefining.com,rglendye@coastalrefining.com,912-236-4162,912-233-9999,54,8-4 M-F,Yes,7,"Automotive crankcase and transmission fluids, locomotive engine oils, waste fuels, oil canning plant waste, virgin oils (6 and 2 fuels)",Other,"Collector, Processor",,Coastal Refining Corp.,Chatham,,-81.133082,32.058905
Rocky Ponders or Rob Goldberg,,FALSE,2015,Processor,,,columbiarecycling@windstream.net,706-226-1779,706-278-4701,56,8-5 M-F,Yes,430,"Textiles, carpet, carpet padding",Carpet,"Collector, Processor",,Columbia Recycling,Whitfield,,-84.974604,34.785147
Andy Boxton,,FALSE,2015,Processor,Accepts from individuals and businesses. Free drop-off. Does not accept TVs. Full list at http://www.completepcrecycling.us/items.php.,www.completepcrecycling.us,,,770-428-1998,57,"9-6 M-F, 9-1:30 Sa",Yes,2,"Office electronics, media, IT equipment",Electronics,"Collector, Processor",,Complete P.C. Recycling,Cobb,,-84.6134187,34.0177107
Murtaza Dohadwala,,FALSE,2015,Processor,Pick up available for large quantities.,www.compupointusa.com,info@compupointusa.com,,770-840-8220,58,9-5 M-F,Yes,10,"Computer equipment, cell phones, CRT monitors, networking equipment",Electronics,"Collector, Processor",,"CompuPoint USA, LLC",Gwinnett,,-84.2170104,33.9085593
,,FALSE,2015,Processor,"Does not accept TVs. Only accept trade-ins from customers buying computers, not general drop-offs.",www.compren.com/stores/kennesaw,crmarietta@msn.com,678-214-0202,678-214-0200,59,"10-7 M-F, 10-6 Sa, 12-6 Su",No,,"Computer equipment, audio/video equipment",Electronics,"Collector, Reseller",,Computer Renaissance,Cobb,,-84.5634449,34.012614
Gary Wayne,,FALSE,2015,Processor,,www.safetycomputersolutions.com,,,678-639-1234,60,"8:30-7 M-F, 9-5 Sa, 12-5 Su",Yes,5,Computer equipment,Electronics,"Collector, Broker",,Computer Solutions,Gwinnett,,-83.945604,33.858387
Eddie Crawford,,FALSE,2015,Processor,,,autocrusher@comcast.net,,770-786-0420,61,"8-5 M-F, 8-2 Sa",Yes,,"Autos, non-ferrous metals, ferrous metals",Metal,"Collector, Processor",,Crawford's Recycling,Newton,,-83.8601827,33.5967815
Katrina Carr,,FALSE,2015,Processor,"Accepts materials from businesses and governments, not the general public. Residential collection points throughout the state. Specialize in computer and related equipment, including banking, financial and telecommunications, and consumer electronics. No white goods.",www.crserecycling.com,,770-463-8817,770-463-8944,62,8-4:30 M-F,Yes,8,Computer equipment,Electronics,"Collector, Processor",,"Creative Recycling Systems of Georgia, Inc.",Coweta,,-81.9287768,33.4765893
Cyrous Naddaf,,FALSE,2015,Processor,Also provides asset management and hard drive wiping. Pick up available for large quantities only. Accepts small amounts from individuals.,www.erecycleusa.com,cyrous@erecycleusa.com,770-416-1627,770-416-1628,78,9:30-5:30 M-F,Yes,,"Computer equipment and peripherals, telecommunications equipment, servers, mainframes, cabling, copiers, televisions",Electronics,"Collector, Processor, Broker",,E-Recycle USA,DeKalb,,-84.199166,33.844782
Ray Hampton,,TRUE,2015,Processor,"Produces polypropylene, polyethylene and nylon 6 pellets in a wide range of melt-flow characteristics. Also, toll conversion for companies such as grinding, precision-cutting, densifying and pelletizing.",www.cycletex.com,rhampton@cycletex.com,706-275-6453,706-226-1116,63,8-5:30 M-F,Yes,40,"Polypropylene (PP), Polyethylene (PE) and nylon 6 (PA-6); film, yarn, wovens, non-wovens, melt-blown, spun-bond, strapping, re-grind, drool, purge, tape, parts",Plastic,"Collector, Processor",,Cycle-Tex,Whitfield,,-84.9661314,34.7876671
Dewey Grantham,,FALSE,2015,Processor,Produces tire-derived fuel and mulch,www.libertytire.com,atlanta@libertytire.com,,404-355-0547,118,,No,50,Scrap tires,Scrap Tires,"Collector, Processor, End User",,"Liberty Tire Recycling, LLC",Fulton,,-84.423326,33.79881
Ray Hampton,,TRUE,2015,Processor,"Produces polypropylene, polyethylene and nylon 6 pellets in a wide range of melt-flow characteristics. Also, toll conversion for companies such as grinding, precision-cutting, densifying and pelletizing.",www.cycletex.com,rhampton@cycletex.com,706-275-6453,706-226-1116,64,8-5:30 M-F,Yes,40,"Polypropylene (PP), Polyethylene (PE) and nylon 6 (PA-6); film, yarn, wovens, non-wovens, melt-blown, spun-bond, strapping, re-grind, drool, purge, tape, parts",Plastic,"Collector, Processor",,Cycle-Tex,Floyd,,-85.0808278,34.3261227
Fred Dikeman,,FALSE,2015,Processor,"Services companies in the Atlanta, Augusta, Chattanooga, Macon and Savannah areas. Does not accept TVs, monitors or appliances.",www.workstation.net,dii@workstation.net,770-874-7828,770-919-2400,65,8:30-5:30 M-F,Yes,3,"Computer and networking equipment, commercial grade computers, servers, laptops, SANs, disk arrays, racks, network and telephone equipment, UPS, power distribution, data center cabinets and racks",Electronics,"Collector, Processor, Broker",,"Data Instruments, Inc.",Cobb,,-84.519282,34.059906
