the_geom,contact_name,reporting_year,notes,manager_phone,manager_name,contact_phone,cartodb_id,waste_type,sector,permit_number,facility_name,county,longitude,latitude
0101000020E6100000DFA7AAD040EF54C036FA980F08784140,Trudy Allen,2015,,-,Bill Allen,706-781-4725,30,,Private,PBR-139-06TS,Allen Disposal Transfer Station,Towns,-83.738331,34.937746
0101000020E6100000700A2B1554D854C0995B21ACC6FA3E40,Allgreen Services,2015,,-,William Sullivan,478-763-4178,31,,Private,PBR-092-43TS,Allgreen Services Transfer Station,Lowndes,-83.380132,30.979594
0101000020E6100000C993A46B267854C0B21188D7F5294040,William Sullivan,2015,,-,William Sullivan,478-763-4178,32,,Private Commercial,PBR-016-025COL;TS,"Allgreen Services, LLC Transfer Station",Bulloch,-81.877345,32.327815
0101000020E610000008C03FA54A1355C00516C09481074140,"SRS Holding, LLC",2015,,770-447-1154,Michael R. Ayers,770-447-1154,33,,Private Commercial,PBR-060-238TS,Alpharetta Transfer Station,Fulton,-84.301431,34.058642
0101000020E6100000F9BD4D7FF6CF54C0E370E65773EC4040,"Jonathan W. Fox, Jr.",2015,,888-446-4722,"Jonathan W. Fox, Jr.",-,34,,Private,PBR-109-10TS,American Stadium Services Transfer Station,Oglethorpe,-83.24942,33.84727
0101000020E61000006FF085C9540D55C0D712F241CF064040,Cliff Sizemore,2015,,229-314-2751,Darrie Art,229-924-3004,35,,Private Commercial,PBR-129-20TS,"Ameri-Green Environmental Recycling, LLC Transfer Station",Sumter,-84.2083,32.0532
0101000020E61000001442075DC21655C033DC80CF0F734140,Rudy Roach,2015,,706-896-1575,Rudy Roach,706-896-1575,36,,Private,PBR-055-12TS,"Appalachian Waste Systems, LLC Transfer Station",Fannin,-84.355613,34.89892
0101000020E610000062A1D634EF1555C0971FB8CA13064140,Jim Price,2015,Unable to verify operational status.,770-642-1195,Dennis Sturgill,770-642-1195,37,,Private,PBR-060-204TS,Apps of GA Transfer Station,Fulton,-84.342725,34.047479
0101000020E6100000F8E0B54B1B2455C0C26B97361CF64040,Dennis Whitlow,2015,,404-419-9904,Dennis Whitlow,404-419-9904,38,,Private,PBR-033-56TS,Arbor Environmental Services Transfer Station,Cobb,-84.564166,33.922736
0101000020E6100000228B34F10E1555C0344B02D4D4D44040,Charles Thomson,2015,,770-441-3037,,843-991-2066,39,,Private,PBR-044-161TS,Arrow Transfer Station,DeKalb,-84.329037,33.662745
0101000020E6100000C4CC3E8F51D654C007B309302CFD4040,Lewis Cooper,2015,,-,,770-725-7400,40,,Private Commercial,PBR-029-45TS,Athens Hull Road Transfer Station,Clarke,-83.348728,33.977911
0101000020E6100000CBEEC9C342D954C0925CFE43FAFD4040,"Republic Services of Georgia, LP",2015,,770-944-4963,Mark Allen,770-944-4963,41,,Private Commercial,PBR-029-46-A-TS,Athens Paradise Boulevard Transfer Station ,Clarke,-83.3947,33.9842
0101000020E610000085EB51B81ED954C069006F8104FD4040,"Republic Services of Georgia, LP",2015,,770-944-4963,Timothy Laraway,770-944-4963,42,,Private Commercial,PBR-029-46TS,Athens Transfer Station,Clarke,-83.3925,33.9767
0101000020E6100000B0C91AF5104954C04963B48EAA124040,"Atlantic Wood Industries, Inc.",2015,,912-964-1234,Ross Worsham,912-964-1234,43,,Private,PBR-025-46TS,Atlantic Wood Waste Transfer Facility,Chatham,-81.14166,32.14583
0101000020E61000008C4AEA0434CD54C0736891ED7C8F4040,"Attaway Recycling, LLC",2015,,478-414-1675,Robbie Attaway,478-414-1675,44,MSW and C&D,Private Commercial,PBR-005-28TS,Attaway Transfer Station,Baldwin,-83.2063,33.121
0101000020E61000001EF30181CE4055C0A8143B1A87FC4040,Scott Rakestraw,2015,,678-873-3111,Scott Rakestraw,770-684-9881,45,,Private,PBR-115-11TS,Avery Environmental Services/Randall Wood Services Transfer Station,Polk,-85.012604,33.972873
0101000020E6100000EF85C954C14455C01F80D4264E064140,Scott Rakestraw,2015,,678-873-3111,Scott Rakestraw,770-684-9881,46,,Private Commercial,PBR-115-09TS,Avery Environmental Services/Randall Wood Services/Recycle Worldwide Service Transfer Station,Polk,-85.0743,34.04926
0101000020E6100000A662635E473755C0473EAF78EAF54040,,2015,Unable to verify operational status.,-,,-,47,,Private,PBR-110-23TS,B&L Disposal Transfer Station,Paulding,-84.863731,33.921218
0101000020E6100000DBFAE93F6BC954C02123A0C2118C4040,Baldwin County Board of Commissioners,2015,,-,,478-445-4791,48,,Public,PBR-005-14TS,Baldwin County Board of Commissioners Transfer Station #2,Baldwin,-83.147171,33.094292
0101000020E61000009C6A2DCC422655C03C4ED1915CE84040,"Siskey Hauling Co., Inc.",2015,,,Matthew Roper,404-696-6316,49,,Private Commercial,PBR-033-104TS,Bankhead C&D Transfer Station,Cobb,-84.597827,33.815325
0101000020E6100000B471C45A7CF354C0C5CA68E4F3204140,,2015,Unable to verify operational status.,-,,-,50,,Private,PBR-069-04TS,"BDR, Inc. Transfer Station",Hall,-83.804465,34.257443
0101000020E610000055A4C2D8427254C06D1CB1169F3E4040,City of Statesboro,2015,,912-764-5279,,912-764-5468,51,,Public,PBR-016-06TS,Belcher Branch-Lakeview Transfer Station,Bulloch,-81.78533,32.48923
0101000020E61000005F29CB10C71A55C02BB81FF0C0D84040,"Ezell Developments, LLC",2015,,-,Marshall Ezell,404-817-0517,52,,Private Commercial,PBR-060-239TS,"Big E Environmental / Oakdale Environmental, Inc. Transfer Station",Fulton,-84.4184,33.693388
0101000020E6100000ACBF2500FF1955C0986DA7AD11DF4040,,2015,Unable to verify operational status.,-,,-,53,,Private,PBR-060-101TS,"Biocor, Inc. Transfer Station",Fulton,-84.406189,33.742727
0101000020E6100000C1DB831090B954C050FEEE1D357A3F40,Thomas C. Griffin,2015,,912-260-5707,Thomas C. Griffin,912-260-5707,54,Biomedical,Private Commercial,PBR-024-08TS,Bio-Hazard Service Transfer Station,Coffee,-82.899418,31.477373
0101000020E61000006F66F4A3E11955C0EF2076A6D0CF4040,Gene Daniel,2015,Unable to verify operational status.,615-255-7361,Gene Daniel,615-255-7361,55,,Private,PBR-031-32TS,"Biomed Southeast, Inc. Transfer Station",Clayton,-84.404397,33.623555
0101000020E61000009EEFA7C64B3355C0EC51B81E85EB4040,Deven Rush,2015,,770-630-9506,Deven Rush,770-630-9506,56,Biomedical,Private Commercial,PBR-110-34COL,"Biopros, Inc. Transfer Station",Paulding,-84.8015,33.84
0101000020E6100000691EC022BF0955C0EAC891CEC0983F40,,2015,,229-733-8884,,,57,Biomedical,Private Commercial,PBR-047-35COL,"Biostat Medical Waste Service, LLC Transfer Station",Dougherty,-84.152291,31.596692
0101000020E61000004E25034015F454C0286211C30E254140,Ryan Sawyer,2015,,866-435-7704,Ryan Sawyer,866-435-7704,58,Biomedical,Private Commercial,PBR-069-50TS,Biotrama Transfer Station,Hall,-83.813797,34.289513
0101000020E61000002028B7ED7BF854C0936FB6B931CF4040,Terry Barnett,2015,,-,Terry Barnett,770-570-9831,59,Biomedical,Private Commercial,PBR-107-21TS,"Biotran, Inc. Transfer Station",Newton,-83.882564,33.618705
0101000020E61000006E2F698CD60E55C0FDD98F1491F74040,,2015,,-,,-,60,,Private,PBR-067-168TS,BJ Sanitary Landfill & Recycling Center Transfer Station,Gwinnett,-84.231845,33.934115
0101000020E610000048E17A14AED354C06002B7EEE6354040,Michael A. Polsky,2015,,-,,478-934-3200,61,,Public,PBR-012-04TS,Bleckley County Solid Waste Transfer Station,Bleckley,-83.3075,32.42111
0101000020E6100000423EE8D9AC2755C0DAAA24B20F6E4040,Mel Buffington,2015,,-,Mel Buffington,706-249-1916,62,C&D,Private,PBR-099-011TS,Bo's Rolloffs Transfer Station,Meriwether,-84.619925,32.859854
0101000020E6100000E542E55FCB8754C0A19FA9D72DC64040,Browning Ferris Industries,2015,Unable to verify operational status.,706-860-7010,Jay Katz,706-860-7010,63,,Private,PBR-036-11TS,"Browning Ferris Industries of South Atlantic, Inc. Transfer Station",Columbia,-82.121788,33.548274
0101000020E6100000EFE6A90EB97D54C0E6577380608A4040,Burke County Board of Commissioners,2015,,706-554-3124,Jesse Burke,706-554-2324,64,,Public,PBR-017-05TS,Burke County Transfer Station,Burke,-81.96442,33.08107
0101000020E6100000A6052FFA0A7E54C08ECA4DD4D2AC4040,,2015,,-,,-,237,,Private,PBR-121-137TS,Waste Management of Augusta Transfer Station,Richmond,-81.96942,33.350184
0101000020E61000009E060C923E4355C0E6B16664907D4040,Dan McAdams,2015,,-,Dan McAdams,706-885-9977,65,,Private,PBR141-11TS,C&C Sanitation Transfer Station,Troup,-85.050694,32.980969
0101000020E61000002F36AD14026054C04C8DD0CFD42F3F40,Jack C. Calloway,2015,,912-577-6050,Jack C. Callaway,912-577-6050,66,Biomedical,Private Commercial,PBR-063-37TS,Callaway-130 Biomedical Waste Transfer Station,Glynn,-81.500127,31.186841
0101000020E6100000AB8E1CE90CF354C0A04FE449D21F4140,,2015,Unable to verify operational status.,-,,-,67,,Private,PBR-069-39TS,Candler Road Landfill Transfer Station,Hall,-83.797663,34.248605
0101000020E6100000A8C64B37894955C01FF46C567DC64040,,2015,,-,,-,68,,Public,PBR-022-01TS,Carroll County Solid Waste Management Authority Transfer Station,Carroll,-85.149,33.5507
0101000020E6100000BBD573D2FBCE54C0DC4B1AA375484140,John L. Carter,2015,,-,,770-779-5211,69,,Private,PBR-127-18TS,Carter's Transfer Station,Stephens,-83.23412,34.56609
0101000020E610000039D21918793F55C073486AA164584140,Mark Logan,2015,,678-797-1283,Mark Logan,678-797-1283,70,,Private Commercial,"PBR-033-117COL,TS","CAT Recovery Services, Inc. Transfer Station ",Cobb,-84.991766,34.690571
0101000020E610000074C93846B24A55C081ED60C43E714140,"Santek Enviromental of Georgia, Inc.",2015,,706-937-4564,Paul Long,423-476-9160,71,,Public,PBR-023-14TS,Catoosa County Transfer Station,Catoosa,-85.167131,34.884728
0101000020E6100000191C25AFCED154C0658D7A88468B4040,Raymond L. Martin,2015,,770-607-8617,Raymond L. Martin,770-607-8647,72,,Private Commercial,PBR-008-26TS,"CFM Environmental Services, Inc. Transfer Station",Bartow,-83.27824,33.08809
0101000020E61000005C8AABCABE1555C0B0AF75A911D84040,Raymond L. Martin,2015,Unable to verify operational status.,770-987-2154,Raymond L. Martin,770-622-1290,73,,Private,PBR-044-150TS,"CFM Environmental Services, Inc. Transfer Station",DeKalb,-84.33977,33.688039
0101000020E610000070CD1DFD2F0455C0D07F0F5EBBD84040,,2015,Unable to verify operational status.,-,,-,74,,Private,PBR-122-16TS,"CFM Environmental Services, Inc. Transfer Station",Rockdale,-84.065429,33.693218
0101000020E610000015C440D7BE1F55C053C37E4FACE94040,Greg Rosser,2015,,404-799-8304,,404-438-7770,75,,Private,PBR-033-61TS,"Chambers of Georgia, Inc. Transfer Station",Cobb,-84.496023,33.825571
0101000020E6100000D925AAB7066054C093D920938C343F40,,2015,,912-267-1345,Gary Williams,-,76,,Private,PBR-063-17TS,Chapman Waste Disposal Transfer Station,Glynn,-81.50041,31.20527
0101000020E6100000A1A17F828B5555C08907944DB93E4140,,2015,,-,,-,77,,Public,PBR-027-04TS,Chattooga County Transfer Station,Chattooga,-85.33664,34.49003
0101000020E6100000F25CDF87833B55C02CB29DEFA7663F40,,2015,,-,,-,78,,Public,PBR-049-04TS,City of Blakely Transfer Station,Early,-84.929903,31.401
0101000020E6100000D481ACA756F954C01E87C1FC15464040,Larry Brown,2015,,-,,478-825-2615,79,,Public,PBR-111-012COL;TS,City of Fort Valley Public Works Transfer Station,Peach,-83.895914,32.547546
0101000020E610000004C93B8732EC54C0BA1457957DE74040,City of Monroe,2015,,770-267-6933,Danny P. Smith,770-267-6933,80,,Public,PBR-147-39TS,City of Monroe Transfer Station,Walton,-83.690584,33.80852
0101000020E6100000494BE5ED089F54C03B53E8BCC6BA4040,,2015,,404-595-1781,,-,81,,Public,PBR-097-04TS,City of Thomson Transfer Station,McDuffie,-82.48492,33.45919
0101000020E6100000CBBF9657AED354C04ACFF41263454140,,2015,,-,,-,82,,Public,PBR-127-03TS,City of Toccoa Transfer Station,Stephens,-83.307516,34.542086
0101000020E61000000227DBC01D1055C0E15F048D99EA4040,H. Lee Creecy,2015,,404-932-8770,Lee Creecy,404-932-8770,83,,Private,PBR-044-145TS,Clean Tech Transfer Station,DeKalb,-84.251816,33.832811
0101000020E61000002AC6F99B50B954C0006E162F16923F40,"Waste Industries, LLC",2015,,912-384-6001,J. Corey Henderson,919-325-3000,84,,Private Commercial,"PBR-034-05TS,COL",Coffee County Transfer Station,Coffee,-82.895545,31.570651
0101000020E61000008048BF7D1DF654C00FD1E80E62173F40,Colquitt County Board of Commissioners,2015,,229-616-7475,Clint Perry,229-616-7400,85,,Public,PBR-035-17TS,Colquitt County Board of Commissioners Transfer Station,Colquitt,-83.84555,31.09134
0101000020E6100000F5402B30642755C0A7CEA3E2FF024140,,2015,,770-425-3411,Mark Warren,-,86,,Private,PBR-033-14TS,"Consolidated Environmental Services, Inc. Transfer Station",Cobb,-84.61549,34.023434
0101000020E610000061DD7877640455C0B3EBDE8AC4D84040,Pete Leonetti,2015,,770-922-6031,Pete Leonetti,770-922-6031,87,,Private Commercial,"PBR-122-29COL,TS",Covington Highway Transfer Station,Rockdale,-84.068632,33.693498
0101000020E61000008D4127840EF854C0546EA296E6CC4040,,2015,Unable to verify operational status.,-,,-,88,,Private,PBR-107-13TS,Covington Mills Transfer Station,Newton,-83.875886,33.600787
0101000020E6100000ED2AA4FCA43655C06C787AA52CAF4040,Coweta County Environmental Management,2015,,770-252-3748,,770-254-3785,89,,Public,PBR-038-02TS,Coweta County Transfer Station,Coweta,-84.85382,33.36855
0101000020E61000004BE5ED08A71E55C0EE60C43E01B84040,,2015,,-,,-,90,,Private,PBR-056-298TS,"Crews Environmental, Inc. Transfer Station",Fayette,-84.478945,33.437538
0101000020E6100000FC1873D7128254C0705F07CE19A14040,George R. Barnes,2015,Biomedical waste.,706-751-4428,Yvone B. Barnes,706-751-4428,91,Biomedical,Private Commercial,PBR-121-160TS,CSRA Bio-Care Transfer Station,Richmond,-82.0324,33.2586
0101000020E610000005B8205B96EF54C0F6B0170AD82E3F40,"Randy Joe Cox, Sr.",2015,,229-985-1041,"Randy Joe Cox, Jr.",229-985-1041,92,C&D,Private Commercial,PBR-035-27TS,"CTV Recycling, Inc. Transfer Station",Colquitt,-83.743552,31.182984
0101000020E6100000EA094B3CA02055C02CBB6070CD0F4140,,2015,,410-354-3228,,,93,Biomedical,Private,PBR-028-141TS,Curtis Bay Medical Waste Services Transfer Station,Cherokee,-84.50978,34.123457
0101000020E6100000CE531D72336055C09CBF098508704140,Dade County,2015,,-,,706-657-4625,94,,Public,PBR-041-04TS,Dade County Transfer Station,Dade,-85.50314,34.87526
0101000020E610000026A94C31072755C09D6516A1D8004140,,2015,,312-285-9087,,,95,Biomedical,Private,PBR-033-134TS,Daniels Sharpsmart Transfer Station,Cobb,-84.609814,34.006611
0101000020E6100000F8A57EDE540D55C0C5758C2B2EFA4040,,2015,,800-277-4787,,,96,Biomedical,Private,PBR-067-808TS,Disaster One Transfer Station,Gwinnett,-84.208305,33.954534
0101000020E61000008D9C853DED2155C014252191B6FD4040,Robin D. Ray,2015,,404-419-9170,,404-419-9170,97,,Private,PBR-033-24TS,"Dixie Waste Services, Inc. Transfer Station",Cobb,-84.530105,33.982134
0101000020E61000004487C091402555C00F7C0C569CF44040,,2015,,770-920-3133,,-,99,,Public,PBR-048-30TS,Douglas County Transfer Station,Douglas,-84.582066,33.911021
0101000020E6100000CE001764CBF754C06877483140E04040,"Earthwise Industries, Inc.",2015,,770-466-1167,John Fullard,770-979-7555,100,Biomedical,Private Commercial,PBR-147-49TS,"Earthwise Industries, Inc. Transfer Station",Walton,-83.871789,33.751959
0101000020E61000008F6D1970964454C0CDE67118CC094040,"Frank Peeples, Jr.",2015,,-,,912-236-1531,101,,Private,PBR-025-41TS,East Coast Terminal Company Transfer Station,Chatham,-81.071682,32.076541
0101000020E6100000C898BB96901B55C0E86A2BF697D54040,"BFI Transfer Systems of Georgia, LLC",2015,,404-792-2660,Jeff Clem,770-514-2910,102,,Public,PBR-060-122TS,East Point Transfer Station,Fulton,-84.4307,33.6687
0101000020E6100000C7D63384639554C0946DE00ED4414040,,2015,,-,,-,103,,Public,PBR-053-07TS,Emanuel County Transfer Station,Emanuel,-82.334199,32.514284
0101000020E61000001BCEFC6A0E2755C0AC58FCA6B0B84040,,2015,Unable to verify operational status.,-,,-,104,,Private,PBR-056-295TS,EPI Transfer Station,Fayette,-84.610255,33.442891
0101000020E6100000D2E28C614E2455C085915ED4EEDD4040,"EQ Holding Company, Inc.",2015,,404-494-3520,John Teague,734-329-8000,105,,Private,PBR-060-221TS,EQ Industrial Services Transfer Station,Fulton,-84.567284,33.733851
0101000020E6100000B3CEF8BEB82355C0ABB4C5353EDF4040,"EQ Holding Company, Inc.",2015,,404-472-0410,Lee Starnes,734-329-8000,106,,Private,PBR-060-202TS,Equis Atlanta T&P Transfer Station,Fulton,-84.558151,33.744086
0101000020E610000026DA5548F97A54C055F833BC59114040,Evans County Board of Commissioners,2015,,912-739-7122,Forrest Conder,912-739-1141,107,"MSW, C&D, Industrial",Private,PBR-054-11TS,Evans County Transfer Station,Evans,-81.921465,32.135551
0101000020E610000051888043A80355C06325E659492D4140,Jeff Evans,2015,,706-216-4232,Jeff Evans,706-216-4232,108,,Private Commercial,PBR-042-11TS,"Evans Garbage Service, Inc. Transfer Station",Dawson,-84.057145,34.353801
0101000020E61000002C4833164D2655C0730F09DFFBE34040,John Teague,2015,,-,,770-739-5600,109,Biomedical and industrial,Private Commercial,PBR-033-102COL;TS,"Evergreen Waste, LLC Collection and Transfer Station",Cobb,-84.598455,33.781124
0101000020E6100000751E15FF772055C05C548B8862DE4040,"DNT Environmental Services, Inc.",2015,MSW and industrial waste.,770-739-5600,John Teague,770-739-5600,110,,Private Commercial,"PBR-060-252TS,COL","Evergreen Waste, LLC Collection and Transfer Station",Fulton,-84.507324,33.737382
0101000020E61000002F19C748F62555C03481221631C64040,Lukas Johnson,2015,,-,Lukas Johnson,770-774-7014,111,,Private Commercial,PBR-060-250TS,Waste Industries Transfer Station ,Fulton,-84.593157,33.548373
0101000020E610000060764F1E160F55C04626E0D748F44040,,2015,,706-502-5252,,,112,Biomedical,Private Commercial,PBR-067-805TS,Firestar Biomedical Transfer Station,Gwinnett,-84.235725,33.908473
0101000020E6100000B4024356B74155C03E096CCEC16D4140,,2015,,706-502-5252,,,113,Biomedical,Private Commercial,PBR-155-38TS,Firestar Biomedical Transfer Station,Whitfield,-85.026815,34.857477
0101000020E61000007407B13385CC54C0E5B8533A58BF3F40,Fitzgerald-Ben Hill Landfill,2015,,229-426-5075,Neal Poole,229-426-5075,114,,Public,PBR-009-10TS,Fitzgerald-Ben Hill County Regional SWMA Transfer Station,Ben Hill,-83.19563,31.74744
0101000020E6100000E1270EA0DF0855C0317C444C891A4140,,2015,Unable to verify operational status.,-,,-,115,,Public,PBR-058-167TS,Forsyth County Board of Commissioners Transfer Station,Forsyth,-84.138649,34.207315
0101000020E6100000B1FB8EE1B10A55C0828C800A47024140,Full Service Restoration & Construction Services,2015,,770-232-9797,Orlando Ojeda,770-560-7642,116,Biomedical,Private Commercial,PBR-067-803TS,Full Circle Restoration & Construction Services Waste Industries Transfer Station,Gwinnett,-84.167107,34.017793
0101000020E61000009225732CEFED54C000A8E2C62D104140,Lemuel F. Hayes,2015,,706-6582679,Lemuel F. Hayes,706-6582679,117,MSW,Private,PBR-078-019TS,Garbage Hound Sanitation Transfer Station,Jackson,-83.717723,34.126397
0101000020E61000004698A25C1A2655C031242713B7DA4040,"SRS, Inc.",2015,,770-754-5000,Michael Ayers,770-754-5000,118,,Private,PBR-060-207TS,Gateway Transfer Station,Fulton,-84.595359,33.708712
0101000020E6100000F0A7C64B372155C0917EFB3A70064140,Todd Reese/Gordy Powell,2015,,404-606-0134,Todd Reese,404-456-3665,119,Biomedical,Private,PBR-033-119TS,Georgia Clean & Associates Transfer Station,Cobb,-84.519,34.0503
0101000020E6100000F5DBD78173A154C02E3718EAB0BA4040,,2015,,706-597-0329,,-,120,,Private,PBR-097-06TS,"Georgia Disposal and Recycling, Inc. Transfer Station",McDuffie,-82.522675,33.458524
0101000020E61000006F0D6C95604754C0E3FC4D28440C4040,Savannah Steel Terminal - Georgia Recyclers,2015,,912-232-8332,John Black,912-232-8332,121,,Private Commercial,PBR-025-48TTemporaryTS,Georgia Recycling Transfer Station,Chatham,-81.11527,32.09583
0101000020E6100000F2FFAA2347FF54C01343723271394140,,2015,,706-973-7162,,,122,Biomedical,Private,PBR-093-015TS,Go Green Medical Waste Solutions Transfer Station,Lumpkin,-83.988717,34.448767
